Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Leading with Fearless Mindfulness,"Be a leader that can rise to challenges. Captain Sandra Yawn is a world-renowned captain with over 28 years of experience. Yawn’s love of the ocean propelled her to achieve in a male-dominated industry. In this course, Captain Yawn tells her personal stories and defines the qualities that make up a great captain and overall leader. Discover how to hire and manage teams and how to delegate tasks. Sandy encourages you to create a strong leadership framework so that you can find solutions to the most difficult problems and situations that arise—and understand how to navigate clients to ensure top-level customer service while maintaining your cool. As an exciting bonus element to the course, you can learn about Sandy’s favorite destinations and her go-to travel advice.<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2021-09-22 21:42 UTC,N/A,false,N/A,
Guy Kawasaki on Turning Life Wisdom into Business Success,"Get career advice from a real ""wise guy."" In this course, based on his book <i>Wise Guy</i>, one of the world's leading corporate evangelists, Guy Kawasaki, talks about how he built his career. Learn how he landed his first real job in the jewelry business—which turned out to be surprisingly useful training for the tech world. Find out why some of the riskiest moves he made at Apple—disparaging a potential partner and trading jabs with Steve Jobs—paid off. Guy also reveals how taking up surfing at the age of 62 sparked a new passion. In total, Guy covers everything from moral values to business skills to parenting. As he writes, “I hope my stories help you live a more joyous, productive, and meaningful life. If <i>Wise Guy</i> succeeds at this, then that’s the best story of all.”<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2020-10-01 01:44 UTC,N/A,false,N/A,
Managing Career Burnout,"For many professionals, remaining constantly connected and on task can feel like a requirement for success. Long hours and chronic exhaustion are normalized—if not celebrated—in many workplaces. But a lack of boundaries between work and life can cause even the hardest workers among us to wind up resentful and unhappy—even in jobs that once fulfilled them. In this course, instructor Emilie Aries breaks down what burnout is, what causes it, and how to take back your power and energy. Discover how to identify your burnout triggers—whether it's lack of agency, rest, community, or purpose—and take steps to reframe your situation and get help. Plus, get practical strategies to  ensure that you kick burnout to the curb for good.",Course,2022-03-29 05:50 UTC,N/A,false,N/A,
Visual Thinking Strategies,"What if teachers taught with questions rather than lectures? What if students were asked to reflect instead of regurgitate? Visual Thinking Strategies (VTS) challenges the standard model of teaching by encouraging a reflection-and-response style of learning. Designed by art educator Philip Yenawine and developmental psychologist Abigail Housen, VTS relies on children's natural ability to observe, using imagery as the starting point for learning. The teacher asks open-ended questions; students reflect and respond. The process has been proven to strengthen critical thinking skills, language development, confidence, and collaboration. Watch VTS at work in three Louisiana schools and find out what alternative teaching methods like these might have in store for America's classrooms.",Course,2020-04-12 16:33 UTC,N/A,false,N/A,
"A Crash Course in Writing Well: Learn to Write with More Style, Flair, and Impact","Ever wondered how journalists write dazzling copy, every day, for millions of global readers? In this course, Shani Raja, a former writer for <i>The Economist</i> and editor for <i>The Wall Street Journal</i>, shows how such wordsmiths do their magic. In this intensive, four-hour program, Shani shows you how to write articles, blog posts, work emails, business plans, website copy, marketing scripts, press releases, college essays, and nonfiction books with style, flair, and impact. He begins by outlining the core values, aspirations, and habits of great copywriters. Next, he reveals the key principles of good writing: simplicity, clarity, elegance, and evocativeness. Finally, Shani teaches how to edit a piece of writing to a high standard using techniques he learned while working for leading news organizations like <i>Bloomberg News, Dow Jones Newswires</i>, and <i>The Wall Street Journal</i>. The course concludes with a powerful editing exercise that gives you a chance to apply the strategies taught.",Course,2023-03-02 21:13 UTC,N/A,false,N/A,
How Design Makes Us Think,"Great design does something extraordinary. But it isn’t easy to qualify. The most impactful designs and solutions can elicit a wide range of visceral and intellectual responses. In this course, instructor Sean Adams shows you how an aesthetic cue really works, triggering a complex, multifaceted set of responses that resonates with viewers and users.<br><br>Explore how designers engage new viewers with a finely tuned product. Learn about some commonly used marketing and design tools to communicate clearly with an audience, playing with themes such as seduction and pleasure, efficiency, humor, intelligence and innovation, anger, innocence, and more. Sean gives you practical tips that you can try out on the job, drawn from visual examples and legacy designs. By the end of this course, you’ll be prepared to make your next career move in the design and marketing industry.",Course,2025-03-06 16:41 UTC,N/A,false,N/A,
What to Post on LinkedIn to Stand Out,"In this course, senior program manager Sarah Ohlson shows you how to craft a LinkedIn presence that elevates your professional standing and engages your network. Learn about the four key posting strategies that successful LinkedIn creators consistently use. Discover how to align your content with your career objectives, using practical templates and real-life examples that guide your learning journey. Gain insights into defining your audience, optimizing your posting schedule, and creating posts that drive meaningful engagement. Find out how to build your brand and connect with opportunities aligned with your goals. Enhance your professional visibility and impact through strategic content distribution and community engagement. This course empowers you to expand your professional reach, grow your network, and build a consistent brand with actionable insights and strategies.",Course,2026-03-18 20:11 UTC,N/A,false,N/A,
Accessibility-First Design,"<p>Knowing the benefits of an accessibility-first approach enables you to build more useful, resilient, and inclusive products. In this course, accessible design and development consultant David Luhr shows you how to put accessibility first when designing digital experiences. David demonstrates how teams can work together to prioritize and test for accessibility at all stages of product development, saving time and effort with better results. Gain deeper understanding of accessibility with practical examples of how to solve common design challenges. Build tactical skills in accessible content, accessible visual design, and accessibility testing to create successful products that everyone can use.</p>",Course,2023-08-09 01:01 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:693071,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:693071,Course,2020-12-02 00:57 UTC,N/A,false,N/A,
Leading with a Heavy Heart,"Leaders, like everyone else, are humans first. Your humanity makes you a better leader, but it can be difficult to know how to best guide others when faced with your own personal and emotional challenges. How can leaders honor their needs and still serve their organizations and teams? Identify key ways to lead others when you are struggling—and turn your experience into the basis for more authentic leadership and a better environment for your teams. Executive and growth leader Kat Cole explains how to confront reality, identify what’s in your control, and be open with your team. These inspiring lessons can help you reframe your challenges and feelings as an integral part of your life’s journey, your career, and the example you set for others.",Course,2022-09-16 21:40 UTC,N/A,false,N/A,
Using AI in the UX Design Process,"<p>If you’re a UX designer or researcher, you’re probably already wondering about the best way to adapt to the new wave of AI-powered tools and workflows. In this course, UX expert Tetiana Gulei shows you how to take a basic design and apply AI to it to streamline the design process and improve your outcomes along the way.</p><p>Learn how to use generative AI to assist in product discovery and ideation, such as analyzing user data, creating personas, storyboarding, idea generation, and more. Find out how AI can extend the visual design process when it comes to creating mood boards, generating images, and working with colors, fonts, and styles. By the end of this course, you’ll be prepared to start using cutting-edge generative AI tools to streamline your design process, from initial user research to product creation, while also contributing to long-term design strategy validation.</p>",Course,2025-06-19 19:40 UTC,N/A,false,N/A,
Public Speaking for Non-Native English Speakers,"Speaking in public isn't easy for most people, and if English isn’t your first or second language, it might be even more challenging. Designed specifically for non-native English speakers, this course provides practical strategies and techniques to increase clarity and confidence when communicating in English. Executive communication coach and professor Dr. Peter Novak embraces linguistic and cultural diversity in the workplace. Instead of focusing on your accent, Dr. Novak encourages you to shift your efforts towards listener-friendly delivery and embrace your multilingual self. He covers strategies to identify and reduce accent bias, plus specific techniques to increase understandability and generate confidence. Dr. Novak presents a step-by-step guide on how to score a script for delivery, so you can focus on making a better connection with the audience. Strengthen your delivery and build your confidence with these easily integrated approaches to public speaking.
<br><br>
Note: This course was created by the Strictly Speaking Group. We are pleased to host this training in our library.",Course,2023-07-05 21:18 UTC,N/A,false,N/A,
Nano Tips to Build Authority on LinkedIn with Shadé Zahrai & Jasmin Alić,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Shadé Zahrai and Jasmin Alić show you how to create impactful LinkedIn content that delivers real value, builds engagement, and strengthens professional connections. Develop skills to format posts effectively, engage with comments, and subtly showcase their expertise without sounding overly promotional. Through storytelling, video strategies, and permission-based selling, learn how to enhance your LinkedIn presence and create content that resonates with your audience.",Course,2026-03-17 19:40 UTC,N/A,false,N/A,
How to Use Generative AI: Building an AI-First Mindset,"<p>Creating real impact with AI means understanding what generative AI is capable of today—and using that knowledge to stay ahead of future developments. Regardless of your industry, role, and experience, AI can transform your personal and professional development. If you want to learn how to unlock your full potential with AI, this course is for you.
</p><p>
In this course, AI thought leader, advisor, and investor Allie K. Miller provides her insights and guidance on how to thrive in the AI age. She shares real-world examples of generative AI tools in action, as well as her most-used framework to leverage AI to generate added value. Learn how to seamlessly integrate AI into your workflows, enhancing both individual and team productivity. Get the knowledge and tools to use AI for strategic planning, decision-making, and creative problem-solving. By adopting an AI-first mindset, you’ll be better prepared to future-proof your career and lead AI-driven transformations within your organization.",Course,2026-04-01 13:43 UTC,N/A,false,N/A,
Creating Great First Impressions,"First impressions matter. Whether you're walking into a meeting, interview, or negotiation, you need to know how to instantly build rapport. Luckily, the ability to make a lasting first impression isn't an innate skill; there's actually a science to it. In this course, Vanessa Van Edwards—lead investigator at Science of People, a human behavior research lab—shares research-backed strategies that can help you make the first few seconds of any interaction count. Vanessa dives into the body language that is essential to an engaging first impression, the vocal cues that help you sound confident both in person and on the phone, and the best opening lines for sparking a great conversation. Plus, get tips for changing dull small talk into a lively and memorable conversation.",Course,2021-02-14 18:32 UTC,N/A,false,N/A,
Nano Tips for Using Excel with Kat Norton (2022),"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.
<br><br>
Here, join Miss Excel (aka Kat Norton)—a Microsoft MVP with over one million social media followers—as she shares tips and answers to common questions about Microsoft Excel. Topics include removing and rearranging data using the PivotTable, creating custom number formats, scanning data from paper documents into Excel, and more. Each high-energy video offers up quick fixes for things you need to know right now about Excel and also prepares you for more in-depth learning.",Course,2022-11-07 14:48 UTC,N/A,false,N/A,
Writing with Flair: How to Become an Exceptional Writer,"Have you ever pored over a beautifully-written article and wished you could write with the same kind of flair? If so, this course is for you. Join Shani Raja—a former editor for the <i>Wall Street Journal</i>—as he shares practical techniques for making your writing sparkle. Shani dives into the mindset of an elite writer, spelling out the key principles that help great wordsmiths keep their writing purposeful, concise, and pleasurable to read. Learn how to avoid common issues that can weaken your prose, such as careless repetition and out-of-focus ideas. Plus, learn strategies that can help you craft elegant paragraphs and transitions, add freshness to your writing, and more.",Course,2020-10-16 15:08 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2483131,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2483131,Course,2023-05-17 23:55 UTC,N/A,false,N/A,
Learning Personal Branding,"You are the most powerful marketing tool at your disposal. If you are starting a business, establishing your thought leadership, or trying to get ahead in your career, it's a great time to start investing in the brand of you. Learn the secrets of personal branding in this course with marketing expert Chelsea Krost. Chelsea explains how to develop your story, craft your messaging, and define your audience. Then she walks you through building your brand presence online and off, creating a calendar that will help you stay on top of social media and keep your content fresh. Plus, get tips to monetize your personal brand and land speaking engagements and guest roles.",Course,2020-03-27 22:43 UTC,N/A,false,N/A,
Project Management Simplified,"<p>Almost everything you do in the workplace is a project, from the smallest task to the largest endeavor. All of this work can benefit from some basic project management skills. Once mastered, you will be able to transfer this valuable skillset to any project, of any size, in any industry. In this course, management trainer Chris Croft outlines the twelve steps to managing projects without creating a lot of extra overhead, and shows how to use traditional project management tools—such as Gantt charts and network diagrams—to help you succeed. Learn how to plan a project, manage resources, monitor progress, and deliver your project on time and on budget.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/business-foundations-for-nurses-professional-certificate-by-american-nurses-association"" target=""_blank"">Professional Certificate</a> from the American Nurses Association.</p>",Course,2020-03-22 22:44 UTC,N/A,false,N/A,
UX Foundations: Usability Testing,"Run your own basic usability testing to find out just what your users need from your website, application, or device—and learn where to focus design improvements to have the biggest impact. Instructor Chris Nodder shows how to design a study so that it answers your questions, how to recruit the right participants, and how to set up the test environment. The course also teaches you how to moderate and observe a usability test, interact with participants and ask the right kind of questions, and then analyze the results and share them with your team in a meaningful way.",Course,2023-10-13 23:46 UTC,N/A,false,N/A,
Delivering an Authentic Elevator Pitch,"Find out how to craft an authentic personal pitch while projecting competence and warmth—two key factors in making a great first impression. Instructor Tatiana Kolovou shares how building trust with people and making a positive first impression isn’t a matter of magic. Tatiana reveals how verbal and nonverbal behaviors can influence the way people react in an initial meeting, whether in person, over the phone, or online.",Course,2021-01-25 03:23 UTC,N/A,false,N/A,
Ninja Writing: The Four Levels of Writing Mastery,"Truly great nonfiction writers do more than just clearly communicate their ideas—they dazzle. These elite professionals have the uncanny ability to craft taut, elegant sentences that flow together in a way that's almost musical. In this course, instructor Shani Raja—a former editor for the <em>Wall Street Journal</em>—shares tactics that can help to take you to the summit of flawless writing. Here, Shani explains how to tap into the power of the four levels—narrative, paragraphs, sentences, and words—to sharpen your writing so that it stands out from your peers. Discover how to craft impactful intros that grab your reader's attention, choose evocative words, and avoid common mistakes. Whether you're tasked with writing a marketing email, an essay, or a cover letter, this course can help you communicate with style.",Course,2020-04-06 05:10 UTC,N/A,false,N/A,
Writing in Plain Language,"<p>Plain language is a modern communication philosophy and a world-wide movement. It’s the reader-focused way to write, ensuring every sentence is easy to read and understand. This course provides a clear definition of plain language and helps you adapt your writing to this concise, modern style. Online writing expert Leslie O’Flahavan explains how to focus your content, add structure with tables and lists, use active voice, and adopt a direct, personal style that communicates clarity and confidence to your audience. Follow along and learn how to write content that helps people understand what they’ve read <em>and</em> find the information they need—to get important things done. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/professional-soft-skills-learning-pathway"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2022-06-11 00:54 UTC,N/A,false,N/A,
After Effects 2020 New Features,"After Effects 2020 is here. Want to know how this new version will impact your motion graphics workflow? This course covers the latest upgrade, focused around the new, more powerful Content-Aware Fill. Discover how to remove an object, create a reference frame, and remove a logo on a smooth surface with this intelligent editing tool. Instructor Mark Christiansen provides practical tips to help you get the most from this forward-looking update.",Course,2020-10-09 03:41 UTC,N/A,false,N/A,
Learning ArcGIS,"Get up and running with ArcGIS, a true geographic information system (GIS) that allows you to dig into highly accurate geospatial data in a way other mapping applications can't compete with. It's great creating maps, analyzing data for land use studies and other reports, and preparing data for use in an application or database. Let Adam Wilbert show you how to display, analyze, and illustrate geospatial data with ArcGIS. He explores how to import data from multiple sources, manage it with the ArcGIS catalog, and then start making maps. Learn how to lay out your data in the ArcMap component; add symbols, scale bars, and legends; and get your maps out of ArcGIS and into the real world, whether it's for printing or export to another application.",Course,2020-02-11 00:41 UTC,N/A,false,N/A,
Building Your Visibility as a Leader,"Leaders need to be visible to make an impact. But cultivating your reputation as a leader and expert takes effort and requires a strategic approach. Before you can become the first person your target audience thinks about when they need help or information, you must lay the groundwork by creating and sharing the right content with the right people. In this course,  author and speaker Jason Schenker shows you how. Get practical strategies for projecting leadership and boosting your professional visibility, including how to identify the primary audience you want to target and use podcasts, books, and digital media to your advantage. Plus, learn how to demonstrate authenticity and overcome fears that may be holding you back.",Course,2022-02-13 03:21 UTC,N/A,false,N/A,
Dan Ariely on Making Decisions,"What happens in your brain when you make a decision? When should you use your intuition? How do you make a decision when the stakes are high, when someone will be negatively impacted, when there’s too much or too little information, or when you need to involve your whole team in the decision-making process? And how can you stop procrastinating making a decision? In this course, Dan Ariely—social scientist, beloved professor, and best-selling author of seven books—answers the most-pressing questions about decision-making, based on insights from his extensive research.",Course,2022-03-17 03:54 UTC,N/A,false,N/A,
Figure Drawing: Tonal Rendering,"How can you make a good figure drawing into a great figure drawing? Give it drama with tonal rendering. This course—taught on the iPad Pro—provides you with step-by-step demonstrations that can help you enhance the dimensionality and drama of your figure drawings using tonal rendering techniques. Instructor Amy Wynne starts by demonstrating how to create a five-part tonal gradient, and then shows how to apply this to simple 3D geometric shapes such as an egg, a cylinder, and a block; these shapes serve as the building blocks for constructing your figures. Amy also shows how to build the figure from the inside out—from structure to tonality—and apply silhouette and camouflage using inspiring master drawings as examples. Upon completing this course, you'll be equipped with a few simple techniques that can help you add beautiful lights and shadows to your figure sketches.",Course,2020-10-04 05:22 UTC,N/A,false,N/A,
The AI-Driven Product Designer,"In this course, Drew Falkman—a product strategist and startup advisor—explores how AI is transforming software product design and management in this comprehensive course. Learn to leverage advanced AI tools to optimize product strategy, UX research, prototyping, and code development. Identify key insights faster than ever using enhanced methods for user research and analytics with tools like Craft Full and Strela. Utilize tools like Wizard, Reloom, and Figma AI to create and iterate on prototypes. Master the integration process to transform your designs into functional code using builder.io and Lovable's no-code solutions. Delve into ethical considerations and security practices to effectively manage data and AI dependencies. By the end of this course, you will be able to dramatically streamline your product design process and stay ahead in the fast-evolving tech landscape.",Course,2025-06-18 21:45 UTC,N/A,false,N/A,
Sheryl Sandberg and Adam Grant on Option B: Building Resilience,"Dodging adversity is often not a choice. Encountering a devastating event—the gut-wrenching kind that zaps away joy—is an inevitability of life. In their <em>New York Times</em> best-selling book <em>Option B: Facing Adversity, Building Resilience, and Finding Joy</em>, Facebook COO Sheryl Sandberg and Wharton psychologist Adam Grant share their insights on building resilience in the face of such setbacks. They offer practical steps you can take to reimagine and rebuild your life when your first choice—your Option A—is no longer on the table, and you're faced with the task of making the absolute best of Option B. This course highlights some of the powerful topics in this book, including how to talk to friends and colleagues who are hurting when you're not sure what to say, how to fight the idea that the hurt you're feeling is permanent, and how to give yourself permission to experience happiness again.<br><br> For additional resources and support, check out <a href=""https://optionb.org/"" target=""_blank""> OptionB.Org</a>, a nonprofit initiative dedicated to helping individuals build resilience in the face of adversity.",Course,2021-01-07 05:13 UTC,N/A,false,N/A,
How to Create and Run a Brilliant Remote Workshop,"Get practical advice, techniques, and frameworks to help you develop and run effective remote workshops. With in-person professional gatherings halted due to COVID-19, expert Dave Birss can teach you how to create and run a remote workshop that will have an impact and help you achieve your business goals. Using engaging examples and his signature humor, Dave walks you through preparing for a great remote workshop, selecting the right technology, engaging participants, working with the output of a remote workshop, and more. You can also get tips to move an existing workshop from an offline event to an online one, and facilitate a successful workshop that benefits all participants.<br><br>

This course was created by Dave Birss. We are pleased to offer this training in our library.",Course,2021-03-05 17:42 UTC,N/A,false,N/A,
Handling an Unruly Audience,"Learn how to create a better rapport with your audience and handle negative interactions with unruly audience members. PR expert Deirdre Breakenridge helps you recognize the personality ""signals"" of hecklers in advance and what to do when you are interrupted. She also helps you identify potential champions and enlist their support before you ever step foot on stage. Whether you are speaking to a large or small audience, Deirdre provides tips for keeping your composure and maintaining focus, from the moment you start speaking to answering difficult questions during Q&A.",Course,2019-08-15 00:28 UTC,N/A,false,N/A,
Creating a Communications Strategy,"A communications strategy is the backbone of any good marketing or communications program. It provides a focus, with a clear goal and roadmap for how to best get your message to your target audience, and ensures that your messages are memorable and move people to action. Learning how to craft a communications strategy can help you to be a masterful communicator. In this course, discover ways to identify your audience, build a communications strategy, measure your results, and adjust to feedback. Find out how to break through the noise and connect with your audience clearly reliably and how to respond with consistency when crisis hits.",Course,2022-01-18 05:21 UTC,N/A,false,N/A,
